"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","cell adhesion molecule binding","GO:0050839","true","0.0017967239572640318","2.7455186413361052","292","38","6","25177","ESAM,NRXN1,DMD,DSCAM,NLGN1,CNTN5"
"GO:MF","monoatomic ion gated channel activity","GO:0022839","true","0.002438154342027752","2.6129388057851743","308","38","6","25177","GRIN2B,GABRB1,KCNIP4,RYR3,TRPM3,GRIK1"
"GO:MF","gated channel activity","GO:0022836","false","0.0026245721474352055","2.5809414843161775","312","38","6","25177","GRIN2B,GABRB1,KCNIP4,RYR3,TRPM3,GRIK1"
"GO:MF","calcium ion binding","GO:0005509","true","0.0037860358047356315","2.4218152832075144","720","38","8","25177","FAT4,REPS2,FAT3,NRXN1,EGFEM1,KCNIP4,RYR3,SLIT2"
"GO:MF","cell-cell adhesion mediator activity","GO:0098632","false","0.007068186359322651","2.1506920084354335","34","38","3","25177","ESAM,DSCAM,CNTN5"
"GO:MF","cell adhesion mediator activity","GO:0098631","false","0.014440903928210585","1.8404056212575743","43","38","3","25177","ESAM,DSCAM,CNTN5"
"GO:MF","monoatomic ion channel activity","GO:0005216","false","0.015812833904742096","1.800990290795148","429","38","6","25177","GRIN2B,GABRB1,KCNIP4,RYR3,TRPM3,GRIK1"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.02005224274360587","1.6978370466497255","136","38","4","25177","GRIN2B,GABRB1,RYR3,GRIK1"
"GO:MF","cation binding","GO:0043169","true","0.020377251553752827","1.6908543932212994","4234","38","17","25177","FAT4,LARGE1,EBF1,REPS2,ADCY8,FAT3,NRXN1,DMD,GRIN2B,EGFEM1,ST18,KCNIP4,RYR3,ADARB2,GALNTL6,PDE1A,SLIT2"
"GO:MF","ligand-gated channel activity","GO:0022834","false","0.021831374851120904","1.660918913331003","139","38","4","25177","GRIN2B,GABRB1,RYR3,GRIK1"
"GO:MF","channel activity","GO:0015267","false","0.030476864908107103","1.5160297100075362","483","38","6","25177","GRIN2B,GABRB1,KCNIP4,RYR3,TRPM3,GRIK1"
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.030476864908107103","1.5160297100075362","483","38","6","25177","GRIN2B,GABRB1,KCNIP4,RYR3,TRPM3,GRIK1"
"GO:MF","transmitter-gated channel activity","GO:0022835","false","0.04133190241868387","1.3837146046161373","61","38","3","25177","GRIN2B,GABRB1,GRIK1"
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","false","0.04133190241868387","1.3837146046161373","61","38","3","25177","GRIN2B,GABRB1,GRIK1"
"GO:BP","neuron differentiation","GO:0030182","true","1.0718081633550022e-8","7.969882939505012","1555","38","17","27205","SLITRK6,FAT4,FAT3,PLXNA4,VWC2L,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTNAP5A,CNTN5"
"GO:BP","generation of neurons","GO:0048699","false","2.2846531959893975e-8","7.641179715287349","1631","38","17","27205","SLITRK6,FAT4,FAT3,PLXNA4,VWC2L,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTNAP5A,CNTN5"
"GO:BP","neuron development","GO:0048666","false","9.304714223334721e-8","7.031296960860424","1266","38","15","27205","SLITRK6,FAT4,FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","neurogenesis","GO:0022008","false","1.9790460792354273e-7","6.7035440937548465","1871","38","17","27205","SLITRK6,FAT4,FAT3,PLXNA4,VWC2L,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTNAP5A,CNTN5"
"GO:BP","neuron projection development","GO:0031175","false","2.1783132152467567e-7","6.661879673766068","1110","38","14","27205","SLITRK6,FAT4,FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","cell adhesion","GO:0007155","true","6.996670359091422e-7","6.155108586942511","1463","38","15","27205","FAT4,FAT3,PLXNA4,ESAM,NRXN1,DMD,EPHA3,DSCAM,TMEFF2,NCAM2,PRKG1,NLGN1,SLIT2,CNTNAP5A,CNTN5"
"GO:BP","nervous system development","GO:0007399","false","0.000023553259254341234","4.627948987548437","2555","38","17","27205","SLITRK6,FAT4,FAT3,PLXNA4,VWC2L,NRXN1,DMD,EPHA3,DSCAM,GABRB1,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTNAP5A,CNTN5"
"GO:BP","plasma membrane bounded cell projection organization","GO:0120036","false","0.000031742459095749205","4.498359431382517","1633","38","14","27205","SLITRK6,FAT4,FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","cell projection organization","GO:0030030","false","0.00004180136329750682","4.37880955404005","1669","38","14","27205","SLITRK6,FAT4,FAT3,PLXNA4,NRXN1,DMD,EPHA3,DSCAM,NCAM2,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.000050050007694487","4.300595851417969","699","38","10","27205","SLITRK6,PLXNA4,NRXN1,DMD,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.00006109382330408042","4.214002695494806","714","38","10","27205","SLITRK6,PLXNA4,NRXN1,DMD,DSCAM,PHACTR1,PRKG1,NLGN1,SLIT2,CNTN5"
