"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","true","0.00046218902656671026","3.3351803698869813","55","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","false","0.0005341858909481433","3.272307586858049","57","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","transmitter-gated channel activity","GO:0022835","false","0.0007027687824424657","3.15318753846031","61","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","false","0.0007027687824424657","3.15318753846031","61","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","false","0.0013695568914421786","2.8634199224270183","72","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","extracellular ligand-gated monoatomic ion channel activity","GO:0005230","false","0.0013695568914421786","2.8634199224270183","72","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","neurotransmitter receptor activity","GO:0030594","false","0.007124221522763603","2.1472625849109135","109","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.016972250881490247","1.770260557176366","136","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","ligand-gated channel activity","GO:0022834","false","0.018479861092694637","1.733301297558712","139","37","4","25177","GABRG3,GRIA3,GABRB1,GRID2"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","true","0.02128994351918218","1.6718254907148034","694","37","7","25177","GABRG3,GRIA3,GABRB1,GRID2,SLC8A1,ATP2B4,OPRM1"
"GO:MF","monoatomic ion gated channel activity","GO:0022839","false","0.03038605509901042","1.517325678990105","308","37","5","25177","GABRG3,GRIA3,GABRB1,GRID2,OPRM1"
"GO:MF","gated channel activity","GO:0022836","false","0.032287445666131315","1.4909663116562324","312","37","5","25177","GABRG3,GRIA3,GABRB1,GRID2,OPRM1"
"GO:MF","protein binding","GO:0005515","true","0.040965324508338806","1.3875836005110989","10491","37","27","25177","EOMES,SPON1,GRIA3,TENM1,WDR72,ASTN2,GABRB1,NPPB,PTPRO,GRID2,TMEM178,NR2F2,SLC8A1,IGF1,LMO1,PRKCQ,CDH12,ATP2B4,OPRM1,ADAMTS5,SFRP2,COCH,PCDH11X,PCDH7,DAB1,SORCS1,IGFBP6"
"GO:MF","transmembrane transporter activity","GO:0022857","false","0.048589065393187594","1.3134614544765086","1071","37","8","25177","GABRG3,GRIA3,GABRB1,GRID2,SLC8A1,ATP2B4,OPRM1,SLC44A5"
"GO:BP","system development","GO:0048731","true","0.000011406707797921577","4.942839683496623","4115","37","21","27205","EOMES,TENM1,ASTN2,ETV1,OPN4,GABRB1,NPPB,PTPRO,GRID2,DGKG,NR2F2,ADAMTS2,SLC8A1,IGF1,IL1RAPL2,ATP2B4,OPRM1,ADAMTS5,SFRP2,CNTNAP5C,DAB1"
"GO:BP","nervous system development","GO:0007399","false","0.000015323506613452976","4.814641839885541","2555","37","17","27205","EOMES,TENM1,ASTN2,ETV1,GABRB1,PTPRO,GRID2,DGKG,NR2F2,SLC8A1,IGF1,IL1RAPL2,ATP2B4,OPRM1,SFRP2,CNTNAP5C,DAB1"
"GO:BP","anatomical structure development","GO:0048856","false","0.000016744291123864945","4.77613323376224","6228","37","25","27205","EOMES,TENM1,WDR72,ASTN2,ETV1,OPN4,GABRB1,NPPB,PTPRO,GRID2,TMEM178,DGKG,NR2F2,ADAMTS2,SLC8A1,IGF1,IL1RAPL2,CDH12,ATP2B4,OPRM1,ADAMTS5,SFRP2,COCH,CNTNAP5C,DAB1"
"GO:BP","multicellular organism development","GO:0007275","false","0.00003764292994542384","4.424316580526197","4873","37","22","27205","EOMES,TENM1,ASTN2,ETV1,OPN4,GABRB1,NPPB,PTPRO,GRID2,TMEM178,DGKG,NR2F2,ADAMTS2,SLC8A1,IGF1,IL1RAPL2,ATP2B4,OPRM1,ADAMTS5,SFRP2,CNTNAP5C,DAB1"
"GO:BP","neurogenesis","GO:0022008","false","0.0001264487699664757","3.8980853909092983","1871","37","14","27205","EOMES,TENM1,ASTN2,ETV1,GABRB1,PTPRO,GRID2,DGKG,NR2F2,IGF1,OPRM1,SFRP2,CNTNAP5C,DAB1"
"GO:BP","developmental process","GO:0032502","false","0.0001353561911154181","3.8685218750558636","6865","37","25","27205","EOMES,TENM1,WDR72,ASTN2,ETV1,OPN4,GABRB1,NPPB,PTPRO,GRID2,TMEM178,DGKG,NR2F2,ADAMTS2,SLC8A1,IGF1,IL1RAPL2,CDH12,ATP2B4,OPRM1,ADAMTS5,SFRP2,COCH,CNTNAP5C,DAB1"
"GO:BP","generation of neurons","GO:0048699","false","0.001742858685464735","2.7587378249444527","1631","37","12","27205","EOMES,TENM1,ASTN2,ETV1,GABRB1,PTPRO,GRID2,DGKG,NR2F2,SFRP2,CNTNAP5C,DAB1"
